datetime,text_length,user_verified,sadness,joy,love,anger,fear,surprise,num_tweets
2019-12-06 00:00:00+00:00,137.76470588235293,0.0,0.10553569995510556,0.7505820028309245,0.0040098580618231445,0.1055316913060618,0.032204992756733726,0.0021357723509187482,34
2019-12-07 00:00:00+00:00,171.8846153846154,0.0,0.06495946168545813,0.7389063108712435,0.0028488483815006195,0.12890792386763048,0.06217406716482051,0.0022033986634386773,26
2019-12-08 00:00:00+00:00,177.52941176470588,0.0,0.05392188700309763,0.6489421054857838,0.006469257770838928,0.2034857097930987,0.08377995715315645,0.003401111712104038,34
2019-12-09 00:00:00+00:00,175.46153846153845,0.0,0.09785085709881969,0.6356810309852545,0.0054210277963787894,0.20430009277837458,0.053198042180716026,0.0035489530810781825,26
2019-12-10 00:00:00+00:00,82.85714285714286,0.0,0.04027576924924582,0.6866502459856452,0.00604465044959291,0.17329556117357395,0.08894781435631191,0.004785940809290275,154
2019-12-11 00:00:00+00:00,110.6231884057971,0.014492753623188406,0.050157802270141605,0.7376104029255288,0.014047112198107019,0.1275232929185512,0.06705091590887657,0.0036104667859668234,69
2019-12-12 00:00:00+00:00,126.09183673469387,0.04081632653061224,0.04639946595155064,0.7118279751418729,0.004552636113806571,0.15473769896613834,0.07900801723008044,0.003474203042023131,98
2019-12-13 00:00:00+00:00,130.72222222222223,0.0,0.034461644127279416,0.7090805761205653,0.00412789889863537,0.14126886007660586,0.10825963617632321,0.002801382537048388,36
2019-12-14 00:00:00+00:00,162.6451612903226,0.0,0.07473813918148799,0.7522067464287242,0.0037153767451884286,0.1298671248368919,0.037186837887988544,0.002285772430402557,31
2019-12-15 00:00:00+00:00,134.64,0.0,0.09569556343834847,0.6184788172319532,0.004421131974086165,0.17217715429142116,0.07546048155636527,0.03376685249735601,25
2019-12-16 00:00:00+00:00,119.8,0.0,0.13213481034035796,0.6412699592940043,0.0045917304727481675,0.1285896076471545,0.09018641007423867,0.003227493118174607,20
2019-12-17 00:00:00+00:00,171.85714285714286,0.0,0.02350785704662225,0.7231186245168958,0.004144974830394078,0.16564185694525285,0.0807885270956571,0.002798154503190225,14
2019-12-18 00:00:00+00:00,130.46666666666667,0.022222222222222223,0.08330039687312416,0.6521595624378986,0.004362423487085228,0.17676312155413648,0.08021269590179954,0.0032018059418381503,45
2019-12-19 00:00:00+00:00,114.72222222222223,0.0,0.03862234834297043,0.7731568920943472,0.004077164627637507,0.11032549508510986,0.07110465501480373,0.0027134440396265644,18
2019-12-20 00:00:00+00:00,151.14285714285714,0.0,0.08978994845321202,0.7213169917189849,0.031108652019091614,0.1039588852633772,0.05102601615154916,0.0027994978694810663,28
2019-12-21 00:00:00+00:00,152.0909090909091,0.01818181818181818,0.035386655685513024,0.7657334501685744,0.023326090072937816,0.11632026953289328,0.056402431954550344,0.0028311043549117377,55
2019-12-22 00:00:00+00:00,142.86111111111111,0.0,0.07266513292577453,0.7106824123054847,0.003979436412110873,0.1223090103570333,0.08294202097709381,0.007422007764236898,36
2019-12-23 00:00:00+00:00,142.5,0.0,0.05661145920956707,0.7035886726558341,0.0033317638621416074,0.15138861702559683,0.054174724920033314,0.030904768775404327,28
2019-12-24 00:00:00+00:00,157.85,0.0,0.13102332693815696,0.6363415939063998,0.00435543242492713,0.16361965190735644,0.059881395849515684,0.004778586635075044,20
2019-12-25 00:00:00+00:00,130.37037037037038,0.0,0.09160510047028463,0.6965484155645956,0.003493559264353718,0.14551681175146736,0.053797140848473646,0.00903897654616567,27
2019-12-26 00:00:00+00:00,138.86206896551724,0.0,0.1068665360658558,0.675967329221874,0.0033445526095075085,0.12304582636690987,0.08796878020552083,0.002806982433961319,29
2019-12-27 00:00:00+00:00,148.68965517241378,0.0,0.08977337160091527,0.7142357411091859,0.0035598527977307296,0.1331171490701622,0.056615426958787476,0.0026984695618137203,29
2019-12-28 00:00:00+00:00,195.4102564102564,0.02564102564102564,0.024182006331662145,0.7388158157849923,0.0045212951379840095,0.15901624487387614,0.061444939588023446,0.012019696257387599,39
2019-12-29 00:00:00+00:00,113.45161290322581,0.0,0.08195603941379476,0.6638990424933934,0.004871306278096932,0.1511785432474778,0.09477105582857714,0.003324010083639634,31
2019-12-30 00:00:00+00:00,138.72222222222223,0.0,0.15272384048795276,0.5200176121110821,0.0037374394952267823,0.2134597458449813,0.05237473810524938,0.05768660303793796,18
2019-12-31 00:00:00+00:00,150.25806451612902,0.03225806451612903,0.058777753184849936,0.7201838348841956,0.00462272338148567,0.16147148778808543,0.05166632923552947,0.0032778757994228434,31
2020-01-01 00:00:00+00:00,167.20833333333334,0.0,0.11045580744636634,0.6507794225278,0.043073808796179947,0.1464132639763799,0.046156090378644876,0.0031216065429665227,24
2020-01-02 00:00:00+00:00,150.76923076923077,0.0,0.02175657128995786,0.6881809612521186,0.004655086841711846,0.1984221063500557,0.08314653795073704,0.003838729165951148,26
